review_id,review_url,text,rating,user_id,Store_name,SOURCE,DATE_SCRAPED
oFC-1aRyEBkuNGA4XWkgzA,https://www.yelp.com/biz/goddess-delivers-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=oFC-1aRyEBkuNGA4XWkgzA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,"Amazing! This was the first time i've ever had cannabis delivered so i was a little nervous. I called with a couple questions, placed my order online at 5pm...",5,N4ow3mnOXZjfIv18L2dshQ,Goddess Delivers,yelp,11-23-2019
b30EfdCtV1ruZPcdx6aaGA,https://www.yelp.com/biz/goddess-delivers-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=b30EfdCtV1ruZPcdx6aaGA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,"i purchased kiva edibles, (which happen to be my favorite). they were having a buy 1 get 1 50% off special at the time which was great because the money...",5,o29TSqaHxQdHNB4hmSmzCw,Goddess Delivers,yelp,11-23-2019
tF7PQZIoHz0_fXMak3Odaw,https://www.yelp.com/biz/goddess-delivers-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=tF7PQZIoHz0_fXMak3Odaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,"Some seriously awesome customer service, as well as product. I was evacuated from my home due to a wild fire this past summer, emailed the company to let...",5,SXu0ATVZrXcQOwSHBgqlVA,Goddess Delivers,yelp,11-23-2019
3BwAvtRB2zzIeuALkfoXpQ,https://www.yelp.com/biz/new-age-care-center-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=3BwAvtRB2zzIeuALkfoXpQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,"In the age that we're living in where your choices are between a high end dispensary like MedMen that come with over the top prices, and still illegal non...",5,kf7M7Y3msuur6tPBSJGwbg,New Age Care Center,yelp,11-23-2019
7qh2je3UPalrN4jBm8sSsQ,https://www.yelp.com/biz/new-age-care-center-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=7qh2je3UPalrN4jBm8sSsQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,First off their weed is amazing. My favorite brand that they have there is Source Cannabis (Larry Og). All the girls are very helpful and patient they'll...,5,Fc4vfuBfgZvHna8Wt7i9ww,New Age Care Center,yelp,11-23-2019
sqOni7pyiqO5lm3nEYD8Qg,https://www.yelp.com/biz/new-age-care-center-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=sqOni7pyiqO5lm3nEYD8Qg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,Very nice selection & cool vibe. Close to USC campus & the new LAFC soccer stadium . I got me some of the Source Cannabis .. Bomb !!!! Probably my favorite...,5,OWRpdXHMHatrGVZN8opM2w,New Age Care Center,yelp,11-23-2019
eYzcjd1--EO9ypLXw4Dk_w,https://www.yelp.com/biz/mecca-mid-city-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=eYzcjd1--EO9ypLXw4Dk_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,"I just visit the new Mecca Mid City and I loved it.  There still a little bit of construction,  but when it's done its going to be Awesome!!!

Ruth...",5,0nXhMM0SFoC6noNA0C0tSQ,Mecca Mid City,yelp,11-23-2019
5RFMRG6TKlILLU1P8LfKiw,https://www.yelp.com/biz/mecca-mid-city-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=5RFMRG6TKlILLU1P8LfKiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,Are these guys even legal?? I heard a few months ago they were raised and shit down. Mecca if you are legal please place your permits in the photo section....,1,8OOrm5oOHytmBWsqLq97Qg,Mecca Mid City,yelp,11-23-2019
e-favLZXLOH6fuQsbtKyKQ,https://www.yelp.com/biz/mecca-mid-city-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=e-favLZXLOH6fuQsbtKyKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,"Bring a scale and calibrate to the 1/8th container so you can weigh their grams, which are sealed in a 1/8th container. The BOGO's are consistently under....",3,AvneYw7jNUYks4SXRYan-A,Mecca Mid City,yelp,11-23-2019
OyCl2_YYETiWSu1K89uhKQ,https://www.yelp.com/biz/the-high-note-culver-city-los-angeles-2?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=OyCl2_YYETiWSu1K89uhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,"Always a good time. Will be back. 


A decently priced house brand (Ervana) - makes me cough. But I enjoy the high. Unfortunately they've been out of all...",5,SGFs8A-HXsrC1yrrnaTJRA,The High Note - Culver City,yelp,11-23-2019
qD569dhBpebyDz4w2V7Tmw,https://www.yelp.com/biz/the-high-note-culver-city-los-angeles-2?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=qD569dhBpebyDz4w2V7Tmw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,"Love the bookcase entrance! So cute. Be careful opening the front door because I smacked someone on my way in. Good selection of yummies ;) 

If you save...",5,4PemiFGqpR708Nm_QInxTg,The High Note - Culver City,yelp,11-23-2019
-pV672V_S72hhLiSzpNwfA,https://www.yelp.com/biz/the-high-note-culver-city-los-angeles-2?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=-pV672V_S72hhLiSzpNwfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,Well why not??  You walk in and go thru a bookcase...very creative!  Liking the variety of flower and edibles.  They always have a deal going and when you...,5,RfpzT5Y7TmgRhdHbnYq8BQ,The High Note - Culver City,yelp,11-23-2019
38VtZGkYWttnnSLUxIrHiw,https://www.yelp.com/biz/supreme-og-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=38VtZGkYWttnnSLUxIrHiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,"Quick, easy, great prices :) 

Bella was really nice and and got what we i needed quickly",5,I-cqsAfGv0-9HgOfQTxoJw,Supreme OG,yelp,11-23-2019
HkLhE-YF3idpUjC9yUVh8w,https://www.yelp.com/biz/supreme-og-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=HkLhE-YF3idpUjC9yUVh8w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,"Came in to pick up edibles! They had sour belts and  cookies today. Bella was very helpful. She wore a glove when handling flower, so now I'm offended when...",5,xoZNyPwr2fdWn2GXix58Sw,Supreme OG,yelp,11-23-2019
fhUz1VDa61YLT6AT7sRmkA,https://www.yelp.com/biz/supreme-og-los-angeles?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=fhUz1VDa61YLT6AT7sRmkA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,"It was a cloudy Fri night, we needed trees. Checked Weed Maps. Took us here. Great selection. Tasty trees. Bella is dope!",5,Gynx4ezFoZqcLjBID54cTA,Supreme OG,yelp,11-23-2019
9hnFyhyRJpWrBT8E53Xuuw,https://www.yelp.com/biz/rose-collective-venice?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=9hnFyhyRJpWrBT8E53Xuuw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,"Just wanted say thanks to Garrett man, made me feel like I've known him for a while. Thanks for the suggestion boss.

Love this place, the music and...",5,wZNYcDIXYiI4imTnMliqYQ,Rose Collective,yelp,11-23-2019
GZNeQ8R9gUM_9KpVNIDp9Q,https://www.yelp.com/biz/rose-collective-venice?adjust_creative=oAYGHKSZvK_Az-ZQ4UyTGQ&hrid=GZNeQ8R9gUM_9KpVNIDp9Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=oAYGHKSZvK_Az-ZQ4UyTGQ,"Garrett at Rose Collective plays an important role on my health team, and although he is not an MD, he IS a health care professional. Like more and more of...",5,aKvSVee111b1Jyv8oP9PDA,Rose Collective,yelp,11-23-2019
